order_id,assignment_id,user_id,problem_id,skill_id,skill_name,correct,ms_first_response,overlap_time,clean_skill_name,opportunity,prior_success_count,prior_failure_count,skill_difficulty,student_interaction_number,student_rolling_accuracy,log_ms_first_response,log_overlap_time
21616385,263366,21825,48881,10.0,Table,0,21942,21962,table,1,0,0,0.7547770700636943,1,0.6138370626120444,9.99620346103587,9.997114498314753
21616385,263366,21825,48881,12.0,Mean,0,21942,21962,mean,1,0,0,0.50625,2,0.0,9.99620346103587,9.997114498314753
21616478,263366,21825,49016,10.0,Table,1,88939,88939,table,2,0,1,0.7515923566878981,3,0.0,11.395717264064688,11.395717264064688
21616478,263366,21825,49016,12.0,Mean,1,88939,88939,mean,2,0,1,0.5,4,0.3333333333333333,11.395717264064688,11.395717264064688
21616677,263366,21825,49008,10.0,Table,1,46960,46960,table,3,1,1,0.7515923566878981,5,0.5,10.757072748994158,10.757072748994158
21616677,263366,21825,49008,12.0,Mean,1,46960,46960,mean,3,1,1,0.5,6,0.6,10.757072748994158,10.757072748994158
21616919,263366,21825,49052,10.0,Table,1,82821,82821,table,4,2,1,0.7515923566878981,7,0.6666666666666666,11.32444900556432,11.32444900556432
21616919,263366,21825,49052,12.0,Mean,1,82821,82821,mean,4,2,1,0.5,8,0.7142857142857143,11.32444900556432,11.32444900556432
21671620,263367,21825,56841,10.0,Table,0,86655,86748,table,5,3,1,0.7547770700636943,9,0.75,11.369701536831892,11.370774170365143
21671620,263367,21825,56841,13.0,Median,0,86655,86748,median,1,0,0,0.6724137931034483,10,0.6666666666666666,11.369701536831892,11.370774170365143
21671720,263367,21825,56871,10.0,Table,1,55062,55062,table,6,3,2,0.7515923566878981,11,0.6,10.916233263227545,10.916233263227545
21671720,263367,21825,56871,13.0,Median,1,55062,55062,median,2,0,1,0.6695402298850575,12,0.6363636363636364,10.916233263227545,10.916233263227545
21671764,263367,21825,56730,10.0,Table,0,306200,306200,table,7,4,2,0.7547770700636943,13,0.6666666666666666,12.631997028039708,12.631997028039708
21671764,263367,21825,56730,13.0,Median,0,306200,306200,median,3,1,1,0.6724137931034483,14,0.6153846153846154,12.631997028039708,12.631997028039708
23944780,266324,21825,90543,279.0,Multiplication and Division Integers,1,5906,5906,multiplication division integer,1,0,0,0.7894736842105263,15,0.5714285714285714,8.683893367307235,8.683893367307235
23944797,266324,21825,90594,279.0,Multiplication and Division Integers,1,4015,4015,multiplication division integer,2,1,0,0.7894736842105263,16,0.6,8.298041661371565,8.298041661371565
23944811,266324,21825,90425,279.0,Multiplication and Division Integers,1,4391,4391,multiplication division integer,3,2,0,0.7894736842105263,17,0.625,8.387539983189367,8.387539983189367
23944830,266324,21825,90531,279.0,Multiplication and Division Integers,1,3438,3438,multiplication division integer,4,3,0,0.7894736842105263,18,0.6470588235294118,8.142936010432265,8.142936010432265
23944849,266324,21825,90597,279.0,Multiplication and Division Integers,1,6844,6844,multiplication division integer,5,4,0,0.7894736842105263,19,0.6666666666666666,8.83127373772255,8.83127373772255
23944907,266325,21825,90177,279.0,Multiplication and Division Integers,1,3829,3829,multiplication division integer,6,5,0,0.7894736842105263,20,0.6842105263157895,8.250620082174692,8.250620082174692
23944935,266325,21825,90148,279.0,Multiplication and Division Integers,1,4281,4281,multiplication division integer,7,6,0,0.7894736842105263,21,0.7,8.362175469149628,8.362175469149628
23944952,266325,21825,90118,279.0,Multiplication and Division Integers,1,3906,3906,multiplication division integer,8,7,0,0.7894736842105263,22,0.7142857142857143,8.27052509505507,8.27052509505507
23944969,266325,21825,90221,279.0,Multiplication and Division Integers,1,3797,3797,multiplication division integer,9,8,0,0.7894736842105263,23,0.7272727272727273,8.242229891372231,8.242229891372231
23944981,266325,21825,90173,279.0,Multiplication and Division Integers,1,2922,2922,multiplication division integer,10,9,0,0.7894736842105263,24,0.7391304347826086,7.980365765111246,7.980365765111246
34802035,279792,64532,53697,58.0,Addition Whole Numbers,1,13906,13906,addition whole number,1,0,0,0.7579365079365079,1,0.6138370626120444,9.540147589478611,9.540147589478611
34802035,279792,64532,53697,85.0,Absolute Value,1,13906,13906,absolute value,1,0,0,0.7158081705150977,2,1.0,9.540147589478611,9.540147589478611
34802209,279792,64532,53617,58.0,Addition Whole Numbers,1,5235,5235,addition whole number,2,1,0,0.7579365079365079,3,1.0,8.56331312702979,8.56331312702979
34802209,279792,64532,53617,85.0,Absolute Value,1,5235,5235,absolute value,2,1,0,0.7158081705150977,4,1.0,8.56331312702979,8.56331312702979
34802286,279792,64532,53669,74.0,Subtraction Whole Numbers,1,7860,7860,subtraction whole number,1,0,0,0.6244725738396625,5,1.0,8.969669103793757,8.969669103793757
34802286,279792,64532,53669,85.0,Absolute Value,1,7860,7860,absolute value,3,2,0,0.7158081705150977,6,1.0,8.969669103793757,8.969669103793757
